iter	RMSE
0	34779.7193
1	33019.03136
2	31401.5115
3	30001.21994
4	28725.12961
5	27496.51071
6	26553.79173
7	25631.42559
8	24769.88103
9	24073.79898
10	23312.88183
11	22698.71947
12	22145.23594
13	21582.04266
14	21046.33745
15	20598.03419
16	20178.7367
17	19868.06693
18	19484.83927
19	19190.34084
20	18865.87796
21	18603.29275
22	18360.10952
23	18105.41205
24	17901.39108
25	17673.52579
26	17566.63247
27	17351.89944
28	17072.48958
29	16842.10544
30	16705.95794
31	16628.1931
32	16498.26319
33	16313.67622
34	16149.89051
35	15996.42842
36	15831.25017
37	15680.31426
38	15555.0843
39	15405.72891
40	15321.29987
41	15250.60055
42	15144.42781
43	15046.40723
44	14945.9004
45	14866.03928
46	14773.16757
47	14668.33612
48	14580.03104
49	14520.97834
50	14414.02053
51	14349.19874
52	14275.55659
53	14218.75514
54	14174.46607
55	14129.42184
56	14032.0822
57	13903.52658
58	13789.04649
59	13719.19889
60	13636.07047
61	13591.48955
62	13552.68814
63	13450.0746
64	13412.50384
65	13374.09271
66	13305.70712
67	13268.71062
68	13215.66937
69	13183.48812
70	13139.12587
71	13076.07718
72	12987.17377
73	12908.24275
74	12881.1931
75	12802.15673
76	12770.09857
77	12740.36334
78	12713.51821
79	12560.81807
80	12497.30013
81	12472.2837
82	12441.86364
83	12354.65798
84	12157.07432
85	12130.00605
86	12093.04512
87	11977.15761
88	11953.16245
89	11925.72634
90	11848.58404
91	11823.1097
92	11761.5833
93	11737.78769
94	11631.86842
95	11611.91537
96	11591.24358
97	11531.42661
98	11507.33263
99	11442.29612
