iter	Passed	Remaining
0	32	3187
1	80	3949
2	147	4756
3	189	4540
4	231	4401
5	273	4291
6	312	4149
7	347	4000
8	397	4017
9	460	4140
10	497	4023
11	511	3754
12	545	3649
13	575	3535
14	612	3471
15	659	3460
16	713	3485
17	755	3441
18	791	3374
19	839	3357
20	897	3375
21	934	3313
22	979	3279
23	1019	3227
24	1058	3176
25	1090	3102
26	1141	3085
27	1183	3044
28	1228	3007
29	1260	2942
30	1303	2901
31	1327	2821
32	1359	2760
33	1393	2704
34	1456	2705
35	1536	2732
36	1599	2723
37	1698	2770
38	1730	2706
39	1765	2647
40	1796	2585
41	1822	2517
42	1851	2453
43	1877	2390
44	1969	2407
45	2018	2369
46	2075	2340
47	2130	2307
48	2211	2301
49	2267	2267
50	2317	2226
51	2363	2181
52	2413	2139
53	2464	2099
54	2529	2069
55	2583	2029
56	2623	1979
57	2668	1932
58	2726	1894
59	2766	1844
60	2877	1839
61	2925	1792
62	2983	1752
63	3029	1704
64	3076	1656
65	3132	1613
66	3179	1565
67	3223	1516
68	3264	1466
69	3308	1418
70	3351	1368
71	3421	1330
72	3458	1279
73	3488	1225
74	3519	1173
75	3599	1136
76	3665	1094
77	3738	1054
78	3779	1004
79	3818	954
80	3851	903
81	3894	854
82	3920	803
83	3953	753
84	3985	703
85	4016	653
86	4051	605
87	4079	556
88	4118	509
89	4190	465
90	4295	424
91	4394	382
92	4465	336
93	4525	288
94	4567	240
95	4611	192
96	4694	145
97	4815	98
98	4875	49
99	4979	0
