iter	RMSE
0	35886.06574
1	35070.71603
2	34378.48438
3	33754.36937
4	33100.01368
5	32491.75524
6	31954.41115
7	31341.53241
8	30875.87945
9	30334.64283
10	29801.64478
11	29277.63062
12	28843.76822
13	28363.37638
14	27893.25296
15	27548.97184
16	27244.2116
17	26868.14111
18	26534.80693
19	26153.15223
20	25825.10286
21	25549.94764
22	25251.73791
23	24934.41604
24	24627.66312
25	24446.30423
26	24178.00764
27	23950.95208
28	23751.57915
29	23553.24272
30	23347.36451
31	23125.12726
32	22938.70579
33	22736.63727
34	22505.92326
35	22340.34945
36	22213.12981
37	22049.51237
38	21903.73361
39	21765.11856
40	21586.14579
41	21458.90139
42	21320.73161
43	21217.28535
44	21082.18599
45	20975.35252
46	20865.20313
47	20758.253
48	20666.45544
49	20563.66654
50	20465.27282
51	20372.79197
52	20266.16791
53	20172.92071
54	20071.21903
55	19981.71648
56	19881.52391
57	19761.34221
58	19664.77528
59	19570.74433
60	19482.03087
61	19365.13504
62	19284.62909
63	19234.91689
64	19175.85698
65	19099.28486
66	19040.44822
67	18978.83033
68	18907.52737
69	18838.83935
70	18777.19908
71	18703.60039
72	18657.77868
73	18611.87454
74	18564.37637
75	18525.00347
76	18491.41391
77	18444.51042
78	18399.03332
79	18336.89951
80	18286.10322
81	18233.5635
82	18164.12146
83	18105.57967
84	18080.60384
85	18017.45901
86	17967.64472
87	17908.3523
88	17846.42478
89	17807.31807
90	17780.25753
91	17763.46554
92	17721.80776
93	17702.61538
94	17642.3138
95	17591.24975
96	17550.23997
97	17512.65692
98	17463.18746
99	17430.94051
100	17398.94072
101	17370.92808
102	17327.73171
103	17294.6227
104	17273.04338
105	17236.80565
106	17210.11052
107	17167.96711
108	17134.17135
109	17090.73483
110	17058.79404
111	17007.14898
112	16967.2996
113	16945.6513
114	16906.16012
115	16896.20053
116	16879.35279
117	16842.02954
118	16801.19326
119	16750.17323
120	16716.89369
121	16668.3527
122	16650.79612
123	16633.02322
124	16603.55085
125	16578.84354
126	16562.77743
127	16522.1497
128	16490.61938
