iter	Passed	Remaining
0	217	216865
1	229	114649
2	245	81630
3	252	62943
4	265	52876
5	279	46244
6	293	41570
7	300	37318
8	313	34534
9	329	32659
10	344	30941
11	356	29383
12	366	27812
13	379	26734
14	393	25816
15	406	25007
16	413	23935
17	428	23366
18	442	22854
19	455	22327
20	462	21578
21	477	21207
22	494	21022
23	511	20797
24	527	20562
25	544	20412
26	685	24714
27	694	24123
28	706	23642
29	716	23155
30	725	22681
31	741	22419
32	773	22655
33	855	24314
34	885	24423
35	904	24229
36	928	24166
37	935	23687
38	947	23350
39	956	22952
40	966	22606
41	979	22334
42	998	22216
43	1018	22124
44	1029	21857
45	1043	21638
46	1049	21286
47	1059	21014
48	1066	20704
49	1075	20433
50	1081	20123
51	1088	19841
52	1095	19573
53	1103	19330
54	1109	19059
55	1116	18828
56	1123	18581
57	1129	18339
58	1137	18143
59	1144	17925
60	1153	17753
61	1159	17542
62	1167	17362
63	1173	17166
64	1182	17003
65	1189	16839
66	1198	16688
67	1204	16514
68	1211	16345
69	1219	16203
70	1225	16038
71	1235	15928
72	1242	15776
73	1250	15643
74	1255	15488
75	1265	15384
76	1271	15241
77	1280	15139
78	1287	15009
79	1293	14871
80	1300	14759
81	1306	14625
82	1313	14513
83	1318	14376
84	1324	14252
85	1331	14154
86	1336	14030
87	1345	13941
88	1351	13829
89	1356	13712
90	1364	13627
91	1369	13515
92	1376	13424
93	1382	13323
94	1387	13221
95	1395	13145
96	1401	13048
97	1408	12963
98	1414	12875
99	1420	12784
100	1427	12709
101	1433	12616
102	1440	12541
103	1445	12450
104	1450	12365
105	1457	12294
106	1463	12212
107	1470	12141
108	1476	12070
109	1482	11991
110	1490	11939
111	1497	11876
112	1506	11825
113	1512	11753
114	1522	11715
115	1527	11643
116	1533	11571
117	1542	11531
118	1549	11468
119	1556	11415
120	1562	11350
121	1570	11301
122	1575	11233
123	1581	11173
124	1591	11139
125	1596	11076
126	1604	11027
127	1610	10969
128	1619	10934
129	1624	10870
130	1629	10812
131	1638	10775
132	1644	10718
133	1653	10683
134	1658	10627
135	1666	10588
136	1673	10540
137	1679	10491
138	1691	10478
139	1701	10452
140	1706	10397
141	1712	10345
142	1720	10311
143	1726	10262
144	1734	10229
145	1741	10186
146	1750	10154
147	1755	10106
148	1765	10086
149	1771	10040
150	1777	9992
151	1785	9962
152	1790	9914
153	1800	9891
154	1807	9856
155	1817	9831
156	1822	9784
157	1831	9759
158	1836	9716
159	1842	9673
160	1850	9644
161	1857	9611
162	1865	9580
163	1871	9538
164	1879	9511
165	1885	9471
166	1891	9434
167	1898	9400
168	1904	9366
169	1912	9338
170	1918	9299
171	1928	9282
172	1934	9247
173	1943	9224
174	1948	9185
175	1954	9152
176	1963	9127
177	1968	9090
178	1977	9071
179	1984	9039
180	1994	9025
181	2003	9005
182	2012	8985
183	2018	8950
184	2028	8934
185	2034	8904
186	2043	8885
187	2049	8850
188	2058	8833
189	2065	8805
190	2073	8784
191	2079	8749
192	2084	8716
193	2095	8704
194	2100	8670
